Kód,Territory unit,Total,with no religious belief (abs.),with no religious belief (%),Roman Catholic Church in the Slovak Republic (Roman Catholic) (abs.),Roman Catholic Church in the Slovak Republic (Roman Catholic) (%),Evangelical Church of the Augsburg Confession in Slovakia (abs.),Evangelical Church of the Augsburg Confession in Slovakia (%),Greek Catholic Church in Slovakia (Greek Catholic) (abs.),Greek Catholic Church in Slovakia (Greek Catholic) (%),Reformed Christian Church in Slovakia (Calvinist) (abs.),Reformed Christian Church in Slovakia (Calvinist) (%),Orthodox Church in Slovakia (Orthodox) (abs.),Orthodox Church in Slovakia (Orthodox) (%),Religious Society of Jehova’s Witnesses in the Slovak Republic (abs.),Religious Society of Jehova’s Witnesses in the Slovak Republic (%),Evangelical Methodist Church, Slovak area (abs.),Evangelical Methodist Church, Slovak area (%),Christian Congregations in Slovakia (abs.),Christian Congregations in Slovakia (%),Apostolic Church in Slovakia (abs.),Apostolic Church in Slovakia (%),Unity of Brethren Baptists in the Slovak Republic (Baptist) (abs.),Unity of Brethren Baptists in the Slovak Republic (Baptist) (%),Church of the Brethren in the Slovak Republic (abs.),Church of the Brethren in the Slovak Republic (%),Seventh-day Adventist Church, Slovak Association (abs.),Seventh-day Adventist Church, Slovak Association (%),Jewish community in Slovakia (Jewish) (abs.),Jewish community in Slovakia (Jewish) (%),Czechoslovak Hussite Church in Slovakia (abs.),Czechoslovak Hussite Church in Slovakia (%),Old Catholic Church in Slovakia (Old Catholic) (abs.),Old Catholic Church in Slovakia (Old Catholic) (%),Bahá'i Community in the Slovak Republic (abs.),Bahá'i Community in the Slovak Republic (%),Church of Jesus Christ of Latter-day Saints in the Slovak Republic (abs.),Church of Jesus Christ of Latter-day Saints in the Slovak Republic (%),New Apostolic Church in the Slovak Republic (abs.),New Apostolic Church in the Slovak Republic (%),Buddhism (abs.),Buddhism (%),Islam (abs.),Islam (%),Hinduism (abs.),Hinduism (%),other and not ascertained christian church (abs.),other and not ascertained christian church (%),paganism and natural spirituality (abs.),paganism and natural spirituality (%),ad hoc movements (abs.),ad hoc movements (%),other (abs.),other (%),not found out (abs.),not found out (%)
SK0235,District of Šaľa,51477,13708,26.63,28316,55.01,1564,3.04,335,0.65,2526,4.91,78,0.15,133,0.26,40,0.08,220,0.43,38,0.07,6,0.01,4,0.01,10,0.02,14,0.03,2,0,22,0.04,1,0,2,0,0,0,70,0.14,29,0.06,8,0.02,135,0.26,18,0.03,120,0.23,123,0.24,3955,7.68
SK0236,District of Topoľčany,70877,11406,16.09,51823,73.12,1920,2.71,331,0.47,73,0.1,126,0.18,104,0.15,11,0.02,210,0.3,67,0.09,5,0.01,1,0,57,0.08,7,0.01,10,0.01,25,0.04,0,0,0,0,1,0,71,0.1,60,0.08,8,0.01,57,0.08,81,0.11,223,0.31,163,0.23,4037,5.7
SK0237,District of Zlaté Moravce,41169,6393,15.53,31148,75.66,347,0.84,186,0.45,64,0.16,59,0.14,60,0.15,7,0.02,121,0.29,47,0.11,3,0.01,6,0.01,15,0.04,3,0.01,5,0.01,26,0.06,0,0,4,0.01,0,0,38,0.09,13,0.03,2,0,56,0.14,61,0.15,144,0.35,110,0.27,2251,5.47
SK0311,District of Bytča,31154,3105,9.97,25229,80.98,786,2.52,158,0.51,41,0.13,20,0.06,15,0.05,12,0.04,188,0.6,3,0.01,0,0,8,0.03,8,0.03,1,0,1,0,2,0.01,2,0.01,1,0,0,0,23,0.07,7,0.02,4,0.01,31,0.1,22,0.07,90,0.29,82,0.26,1315,4.22
SK0312,District of Čadca,88642,6645,7.5,76267,86.04,361,0.41,381,0.43,126,0.14,67,0.08,114,0.13,4,0,314,0.35,17,0.02,5,0.01,0,0,19,0.02,6,0.01,8,0.01,25,0.03,1,0,9,0.01,4,0,64,0.07,18,0.02,12,0.01,162,0.18,59,0.07,215,0.24,156,0.18,3583,4.04
SK0313,District of Dolný Kubín,39026,5942,15.23,24539,62.88,6344,16.26,211,0.54,22,0.06,42,0.11,24,0.06,19,0.05,68,0.17,4,0.01,6,0.02,6,0.02,10,0.03,1,0,5,0.01,6,0.02,0,0,0,0,1,0,47,0.12,23,0.06,7,0.02,56,0.14,20,0.05,111,0.28,98,0.25,1414,3.62
SK0314,District of Kysucké Nové Mesto,32699,4043,12.36,25943,79.34,194,0.59,158,0.48,57,0.17,21,0.06,47,0.14,6,0.02,168,0.51,4,0.01,2,0.01,5,0.02,8,0.02,9,0.03,2,0.01,5,0.02,0,0,1,0,0,0,29,0.09,9,0.03,2,0.01,61,0.19,17,0.05,75,0.23,62,0.19,1771,5.42
SK0315,District of Liptovský Mikuláš,71935,23359,32.47,22569,31.37,19499,27.11,617,0.86,24,0.03,130,0.18,376,0.52,101,0.14,128,0.18,23,0.03,161,0.22,35,0.05,72,0.1,20,0.03,10,0.01,21,0.03,3,0,0,0,0,0,97,0.13,37,0.05,7,0.01,258,0.36,69,0.1,270,0.38,238,0.33,3811,5.3
SK0316,District of Martin,94376,36114,38.27,31157,33.01,17685,18.74,676,0.72,52,0.06,135,0.14,132,0.14,109,0.12,273,0.29,74,0.08,2,0,18,0.02,89,0.09,19,0.02,41,0.04,23,0.02,2,0,5,0.01,0,0,117,0.12,114,0.12,41,0.04,366,0.39,111,0.12,367,0.39,319,0.34,6335,6.71
SK0317,District of Námestovo,63200,2786,4.41,58411,92.42,198,0.31,179,0.28,48,0.08,27,0.04,43,0.07,6,0.01,127,0.2,1,0,1,0,0,0,8,0.01,1,0,1,0,14,0.02,1,0,4,0.01,0,0,25,0.04,13,0.02,1,0,19,0.03,14,0.02,99,0.16,64,0.1,1109,1.75
