year,district_id,district_name,category,statistic,percentage
2021,SK0104,District of Bratislava IV,Age Groups,post-productive age (aged 65+) (%),18.08
2021,SK0105,District of Bratislava V,Age Groups,post-productive age (aged 65+) (%),19.06
2021,SK0106,District of Malacky,Age Groups,post-productive age (aged 65+) (%),15.63
2021,SK0107,District of Pezinok,Age Groups,post-productive age (aged 65+) (%),15.72
2021,SK0108,District of Senec,Age Groups,post-productive age (aged 65+) (%),12.78
2021,SK0211,District of Dunajská Streda,Age Groups,post-productive age (aged 65+) (%),16.42
2021,SK0212,District of Galanta,Age Groups,post-productive age (aged 65+) (%),17.16
2021,SK0213,District of Hlohovec,Age Groups,post-productive age (aged 65+) (%),18.23
2021,SK0214,District of Piešťany,Age Groups,post-productive age (aged 65+) (%),20.32
2021,SK0215,District of Senica,Age Groups,post-productive age (aged 65+) (%),17.38
2021,SK0216,District of Skalica,Age Groups,post-productive age (aged 65+) (%),17.37
2021,SK0217,District of Trnava,Age Groups,post-productive age (aged 65+) (%),17.55
2021,SK0221,District of Bánovce nad Bebravou,Age Groups,post-productive age (aged 65+) (%),18.4
2021,SK0222,District of Ilava,Age Groups,post-productive age (aged 65+) (%),18.1
2021,SK0223,District of Myjava,Age Groups,post-productive age (aged 65+) (%),21.27
2021,SK0224,District of Nové Mesto nad Váhom,Age Groups,post-productive age (aged 65+) (%),19.83
2021,SK0225,District of Partizánske,Age Groups,post-productive age (aged 65+) (%),20.38
2021,SK0226,District of Považská Bystrica,Age Groups,post-productive age (aged 65+) (%),16.66
2021,SK0227,District of Prievidza,Age Groups,post-productive age (aged 65+) (%),19.14
2021,SK0228,District of Púchov,Age Groups,post-productive age (aged 65+) (%),16.92
2021,SK0229,District of Trenčín,Age Groups,post-productive age (aged 65+) (%),19.39
2021,SK0231,District of Komárno,Age Groups,post-productive age (aged 65+) (%),18.97
2021,SK0232,District of Levice,Age Groups,post-productive age (aged 65+) (%),18.68
2021,SK0233,District of Nitra,Age Groups,post-productive age (aged 65+) (%),18.02
2021,SK0234,District of Nové Zámky,Age Groups,post-productive age (aged 65+) (%),19.34
2021,SK0235,District of Šaľa,Age Groups,post-productive age (aged 65+) (%),17.58
2021,SK0236,District of Topoľčany,Age Groups,post-productive age (aged 65+) (%),18.68
2021,SK0237,District of Zlaté Moravce,Age Groups,post-productive age (aged 65+) (%),18.91
2021,SK0311,District of Bytča,Age Groups,post-productive age (aged 65+) (%),15.18
2021,SK0312,District of Čadca,Age Groups,post-productive age (aged 65+) (%),14.57
2021,SK0313,District of Dolný Kubín,Age Groups,post-productive age (aged 65+) (%),15.96
2021,SK0314,District of Kysucké Nové Mesto,Age Groups,post-productive age (aged 65+) (%),15.63
2021,SK0315,District of Liptovský Mikuláš,Age Groups,post-productive age (aged 65+) (%),19.0
2021,SK0316,District of Martin,Age Groups,post-productive age (aged 65+) (%),18.7
2021,SK0317,District of Námestovo,Age Groups,post-productive age (aged 65+) (%),10.46
2021,SK0318,District of Ružomberok,Age Groups,post-productive age (aged 65+) (%),17.95
2021,SK0319,District of Turčianske Teplice,Age Groups,post-productive age (aged 65+) (%),19.87
2021,SK031A,District of Tvrdošín,Age Groups,post-productive age (aged 65+) (%),14.54
2021,SK031B,District of Žilina,Age Groups,post-productive age (aged 65+) (%),16.68
2021,SK0321,District of Banská Bystrica,Age Groups,post-productive age (aged 65+) (%),19.42
2021,SK0322,District of Banská Štiavnica,Age Groups,post-productive age (aged 65+) (%),18.01
2021,SK0323,District of Brezno,Age Groups,post-productive age (aged 65+) (%),18.49
2021,SK0324,District of Detva,Age Groups,post-productive age (aged 65+) (%),19.08
2021,SK0325,District of Krupina,Age Groups,post-productive age (aged 65+) (%),16.58
2021,SK0326,District of Lučenec,Age Groups,post-productive age (aged 65+) (%),17.09
2021,SK0327,District of Poltár,Age Groups,post-productive age (aged 65+) (%),19.1
