election_year,election_type,district_id,district_name,original_party_name,party_name,votes
2020,NR SR,103,Bratislava III,VLASŤ,Vlasť,1133
2020,NR SR,103,Bratislava III,MOST - HÍD,Most-Híd,335
2020,NR SR,103,Bratislava III,SMER - sociálna demokracia,SMER-SD,5173
2020,NR SR,103,Bratislava III,SOLIDARITA - Hnutie pracujúcej chudoby,SOLIDARITA - Hnutie pracujúcej chudoby,22
2020,NR SR,103,Bratislava III,HLAS ĽUDU,HLAS ĽUDU,25
2020,NR SR,103,Bratislava III,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,SMK / Aliancia,152
2020,NR SR,103,Bratislava III,Práca slovenského národa,Práca slovenského národa,11
2020,NR SR,103,Bratislava III,Kotlebovci - Ľudová strana Naše Slovensko,ĽSNS - Kotlebovci,1825
2020,NR SR,103,Bratislava III,Socialisti.sk,Socialisti.sk,254
2020,NR SR,104,Bratislava IV,Slovenská ľudová strana Andreja Hlinku,SĽS - Andreja Hlinku,36
2020,NR SR,104,Bratislava IV,DOBRÁ VOĽBA,DOBRÁ VOĽBA,2090
2020,NR SR,104,Bratislava IV,Sloboda a Solidarita,SaS,8562
2020,NR SR,104,Bratislava IV,SME RODINA,Sme Rodina,3661
2020,NR SR,104,Bratislava IV,Slovenské Hnutie Obrody,Slovenské Hnutie Obrody,27
2020,NR SR,104,Bratislava IV,ZA ĽUDÍ,ZA ĽUDÍ,6600
2020,NR SR,104,Bratislava IV,MÁME TOHO DOSŤ !,MÁME TOHO DOSŤ !,92
2020,NR SR,104,Bratislava IV,Slovenská národná strana,SNS,1298
2020,NR SR,104,Bratislava IV,Demokratická strana,Demokratická strana,79
2020,NR SR,104,Bratislava IV,"OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA",OĽaNO / SLOVENSKO,15521
2020,NR SR,104,Bratislava IV,Koalícia Progresívne Slovensko a SPOLU - občianska demokracia,Progresívne Slovensko,10121
2020,NR SR,104,Bratislava IV,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI,24
2020,NR SR,104,Bratislava IV,99 % - občiansky hlas,99 % - občiansky hlas,19
2020,NR SR,104,Bratislava IV,Kresťanskodemokratické hnutie,KDH,3100
2020,NR SR,104,Bratislava IV,Slovenská liga,Slovenská liga,31
2020,NR SR,104,Bratislava IV,VLASŤ,Vlasť,1592
2020,NR SR,104,Bratislava IV,MOST - HÍD,Most-Híd,427
2020,NR SR,104,Bratislava IV,SMER - sociálna demokracia,SMER-SD,7667
2020,NR SR,104,Bratislava IV,SOLIDARITA - Hnutie pracujúcej chudoby,SOLIDARITA - Hnutie pracujúcej chudoby,31
2020,NR SR,104,Bratislava IV,HLAS ĽUDU,HLAS ĽUDU,50
2020,NR SR,104,Bratislava IV,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,SMK / Aliancia,195
2020,NR SR,104,Bratislava IV,Práca slovenského národa,Práca slovenského národa,27
2020,NR SR,104,Bratislava IV,Kotlebovci - Ľudová strana Naše Slovensko,ĽSNS - Kotlebovci,2859
2020,NR SR,104,Bratislava IV,Socialisti.sk,Socialisti.sk,389
2020,NR SR,105,Bratislava V,Slovenská ľudová strana Andreja Hlinku,SĽS - Andreja Hlinku,53
2020,NR SR,105,Bratislava V,DOBRÁ VOĽBA,DOBRÁ VOĽBA,2053
2020,NR SR,105,Bratislava V,Sloboda a Solidarita,SaS,9297
2020,NR SR,105,Bratislava V,SME RODINA,Sme Rodina,5092
2020,NR SR,105,Bratislava V,Slovenské Hnutie Obrody,Slovenské Hnutie Obrody,42
2020,NR SR,105,Bratislava V,ZA ĽUDÍ,ZA ĽUDÍ,6684
2020,NR SR,105,Bratislava V,MÁME TOHO DOSŤ !,MÁME TOHO DOSŤ !,127
2020,NR SR,105,Bratislava V,Slovenská národná strana,SNS,1475
2020,NR SR,105,Bratislava V,Demokratická strana,Demokratická strana,106
2020,NR SR,105,Bratislava V,"OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA",OĽaNO / SLOVENSKO,19372
2020,NR SR,105,Bratislava V,Koalícia Progresívne Slovensko a SPOLU - občianska demokracia,Progresívne Slovensko,10367
2020,NR SR,105,Bratislava V,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI,39
2020,NR SR,105,Bratislava V,99 % - občiansky hlas,99 % - občiansky hlas,38
2020,NR SR,105,Bratislava V,Kresťanskodemokratické hnutie,KDH,2937
2020,NR SR,105,Bratislava V,Slovenská liga,Slovenská liga,22
2020,NR SR,105,Bratislava V,VLASŤ,Vlasť,2088
2020,NR SR,105,Bratislava V,MOST - HÍD,Most-Híd,689
2020,NR SR,105,Bratislava V,SMER - sociálna demokracia,SMER-SD,9228
2020,NR SR,105,Bratislava V,SOLIDARITA - Hnutie pracujúcej chudoby,SOLIDARITA - Hnutie pracujúcej chudoby,50
2020,NR SR,105,Bratislava V,HLAS ĽUDU,HLAS ĽUDU,50
2020,NR SR,105,Bratislava V,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,SMK / Aliancia,340
2020,NR SR,105,Bratislava V,Práca slovenského národa,Práca slovenského národa,31
2020,NR SR,105,Bratislava V,Kotlebovci - Ľudová strana Naše Slovensko,ĽSNS - Kotlebovci,3491
2020,NR SR,105,Bratislava V,Socialisti.sk,Socialisti.sk,442
2020,NR SR,106,Malacky,Slovenská ľudová strana Andreja Hlinku,SĽS - Andreja Hlinku,91
2020,NR SR,106,Malacky,DOBRÁ VOĽBA,DOBRÁ VOĽBA,1229
2020,NR SR,106,Malacky,Sloboda a Solidarita,SaS,3373
2020,NR SR,106,Malacky,SME RODINA,Sme Rodina,4010
2020,NR SR,106,Malacky,Slovenské Hnutie Obrody,Slovenské Hnutie Obrody,23
